,UserName,Handle,DateTime,Text,Emoji,EmojiTitles,Likes,Retweets
25,Blend Forward | ENDSARS,@BlendForward,2021-05-24T08:51:54.000Z,"215 days since the Lekki massacre 
Stand for the massacred protesters!
Share for awareness 
#EndSARS #endpolicebrutality #endbadgovernanceinnigeria president Buhari",💔 🌍 ❤,Broken heart Earth globe europe-africa Red heart,14,16
26,BlackLyon,@temiloluwaashi1,2021-05-26T08:53:05.000Z,Let’s come together let’s do this #EndSARS 2 once again #Buharimustgo #EndASUPStrike,,,3,3
27,ebele.,@ebelee_,2021-05-28T07:10:57.000Z,"Isa Pantami incited violence... he’s still in office 

Senator Elisha Abbo beat a woman in a sex store... he’s still in office 

Abiodun Bolarinwa killed 2 people during #EndSARS ... nowhere to be found

Our politicians embezzle funds everyday...

Are THEY above the law ??",,,103,114
28,Akusoronwa Chijioke,@AChijioke,2021-05-27T18:32:21.000Z,"The walls of united Nigeria are broken.
The hopes for equity are shattered.
The dreams for peace a mirage.
The thoughts for thinking has left many.
The desire for fairness is far lost.
The cry for patriotism is dwindling.
The acts for reason are now relegated.

#CMAViews #EndSARS",,,8,5
29,Olamide Quadri-Lush,@OlamideQuadri4,2021-05-26T05:48:38.000Z,"Exchange Rates As At Today May 26th, 2021. Contact me for your forex needs local and offshore bills settlement. Have a prosperous day peeps. May the Lord Almighty shield us from every evil. Stay safe. Courtesy: abokiFX #Naira #Endsars",,,401,380
30,Ndidi Uwechue,@NdidiUwechue,2021-05-28T15:44:00.000Z,"Like South Africa, like #Nigeria! Similar solution: No Elections 2023, then Transitional Government, then Regional Referendums by ethnic nations... NINAS like ANC brings LIBERATION! . #End1999Constitution #PartiesCloseShopNow #EndSARS #NINASReferendum #NINAS_SelfDetermination",,,3,3
31,I come from pitakwa,@Leema29846125,2021-05-26T05:52:53.000Z,#EndSARS when I remember 20 10 2020 water run away from my eyes,,,34,14
32,Omoshalewa,@shallyposh,2021-05-23T16:16:36.000Z,"Cheers to my new age

Chapter 23.

#EndSARS 
#Nengi 
#BetterDays",🎉 🎂,Party popper Birthday cake,9,
33,EMPRESSNI,@EMPRESSNI1,2021-05-26T12:31:24.000Z,"Oyeniyi Abeeb has been released iafter Calling out on illegal raiding and unlawfully detention 
@Prince_Muyen
 #EndSARS",,,22,11
34,Boogey,@BoogeyThat,2021-05-26T10:11:43.000Z,People responsible for the #EndSARS shooting have not met any justice and probably never will. Reality is scary.,,,55,45
35,Demorash,@demorash009,2021-05-27T08:39:41.000Z,"Toyota Corolla 2006 ( Toks)
Very neat ( Accident free)
2.45m
DM-08165243939

#EndSARS #VillarrealManUtd",,,3,3
36,Mr _saliU⚚⚚,@i_am_stylist,2021-05-22T21:09:38.000Z,Since this days nothing change Still. #freetheyouth #endsars #,🎷,Saxophone,3,1
37,William,@_SirWilliam_,2021-05-21T11:30:33.000Z,"People who can't find Shekau want me to give my IMEI to someone who pledged allegiance to Al-Qaeda.

Lmao, jokers..",,,5.3K,2.8K
38,William,@_SirWilliam_,2021-05-21T11:31:11.000Z,"This is not about security, you are experiencing the final stages of a paranoid dictatorship.

#EndSARS hit these assholes bad, Social Media Bill is too much work, so they are going full Gestapo.

Won't work, we go use mouth fight am.. nonsense.",,,502,223
39,Chuks,@Chuks79158200,2021-05-26T06:43:40.000Z,The recruited boko haram in Nigeria military only know how to kill innocent people. Have you seen unknown Gunmen killing innocent civilian? Now you see why masses in the South love Unknown Gunmen more than Nigeria police & soldiers. #EndSARS protest.,,,219,470
40,Joshualoaded Media,@forum_nigeria,2021-05-22T18:58:53.000Z,#ENDSARS: Nigeria’s Best Rapper Pays Homage To The Lekki Massacre On New Tape,,,3,2
41,Info@ICBlog.com,Info@ICBlog.com,2021-05-25T16:49:20.000Z,"Seun Kuti walks out on Governor Sanwo Olu at his sister Yeni Kuti’s 60th birthday..._

#EndSARS",,,5,2
42,The Lighthouse,@Lighthouseint,2021-05-26T09:48:06.000Z,"Join us tomorrow, Thursday, May 27th, 2021 for the Conversation with 
@pastorshola
. 

Theme: Too Famous, Too Fast: Memoirs of the Nigerian Youth. Our guest is Pst. Fred Williams (Snr. Pst., Spirit Life Missions, UK). 

Time: 6pm (WAT). 
#StaySafe #EndSARS #Conversation",,,11,12
43,Dazed,@Dazed,2021-05-25T10:09:37.000Z,"What makes a revolution?  

In the wake of last year’s #EndSARS uprising against police corruption, a new generation of activists and instigators boldly moved Nigeria into a more optimistic and inclusive future. 

Read more: https://bit.ly/3hQtWhC

#DazedNewEra",✊,Raised fist,465,228
44,Dazed,@Dazed,2021-05-25T12:34:35.000Z,"Nigeria Now  Looking back in order to move forward, we examine #EndSARS, the youth revolution that brought the establishment to its knees and ask: what’s next for Nigerian activism?

Meet the movement’s many heroes: http://bit.ly/3hQtWhC",,,45,26
45,Onyeisi Canada,@Prinxcharles01,2021-05-26T22:52:29.000Z,"It has arrived from Amazon 

This amazing book #OctoberBlues by 
@obby_iloakasia
 .

I opened just a few pages and I'm captivated already

It poetically covers the buildup to the #EndSARS protests up to the day our heroes fell!

God bless people that document things!",🕺 😯 😲,Man dancing Hushed face Astonished face,11,5
46,#Beautiville,@Mz_Finess,2021-05-26T08:16:13.000Z,"See What Buhari Had To Say 



Spread This Powerful Message By 
@Staqk_G
 With A Retweet 

#EndSARS 
CBN Governor",,,23,13
47,Steven and 14 Others,@iam_steveola,2021-05-25T16:13:56.000Z,Never let anyone bully you or deprive you of expressing your human rights. You have the right to share your opinions without any interference. I heard people criticizing some people during #EndSARS. It’s wrong to stop someone from exercising their human rights.,,,307,160
48,Chief Ajanlekoko,@xlnc_heskie,2021-05-27T20:25:29.000Z,See passion! The only time Nigeria was this United was during #EndSARS,,,2,
49,Willy sunday,@SundayWilly,2021-05-25T16:51:20.000Z,"Unknown Gunmen
Malami
Garba Shehu 
Yoruba Nation
Biafra Nation
Sunday Igboho 
Nnamdi Mazi Kanu
Kidnapping Banditry 
Criminally minded Fulani militia #ENDSARS etc IF you survive all these after Buhari must have left the Office  , my friend you deserve THIS AWARD ",,,321,106
50,JuwonSanyaolu,@AyowoleSanyaolu,2021-05-26T08:15:17.000Z,"#EndSARS protesters including the likes of Larry and Victor have spent over 50 days in prison for protesting while CBN Governor and the entire 
@MBuhari
 government openly expressed intention to fund criminals and bandits. #Buharimustgo #FreeKogi2",,,45,40
51,PAULO,@oyelakinpaulo,2021-05-21T14:44:41.000Z,"A-Q - Shoot The Messenger #Golden

#LekkiMassacre #EndSARS",,,8,3
52,Onye Nkuzi,@cchukudebelu,2021-05-27T10:41:34.000Z,"I also learned (in a beer parlour) that Eri the son of Gad built an ""obi"" for his father ""Obu Gad"" in Aguleri. So does that make me an Israelite?",,,189,40
53,Felix Lawson,@CrasFelix,2021-05-27T13:40:13.000Z,"Beer parlor lectures are always amazing,devoid of complexities, dreamy in nature,soothing like the cold beer cooling the palette of your oesophagus. #EndSARS was a product of beer parlour lectures. Wisdom from the pub remains long after being sober.",,,9,
54,Somto Jefferson Uwazie,@SomtoUwazie,2021-05-27T14:20:30.000Z,"Thanks but no thanks to President Buhari for appointing Major General Farouk Yahaya, a Northern muslim, to the position of Chief of Army Staff (COAS).

This is another confirmation of Buhari's ethnic jingoism and hatred of the Southern part of our country.

Very sad!

#EndSARS",,,6,2
55,Amber_Jay,@_Copah_Jay,2021-05-21T23:16:27.000Z,What #EndSARS gifted me.,,,30,4
56,EMPRESSNI,@EMPRESSNI1,2021-05-26T08:36:06.000Z,"Oyeniyi Abeeb & Dj Olaizeeco Just got illegally arrested  in front of his house in meiran yesterday nyt 
@Prince_Muyen
 when Will this injustice end ? When will we know peace, protectors are becoming villians. We don’t want to die young #Endsars 
@10DowningStreet",,,10,17
57,Adekunle,@princexadee,2021-05-26T16:10:46.000Z,It’s still #ENDSARS,,,19,10
58,Ade-Adedeji Adeyera,@adeadeyera,2021-05-27T13:10:04.000Z,"Na person wey support #EndSARS na im we go support for Champions League final.
Up Chelsea! Naija to the world!",,,26,9
59,Oluwakemi,@thisisOluwakemi,2021-05-27T15:56:28.000Z,"SARS disbandment created vacuum in fight against crime - IGP 

#EndSARS",😏,Smirking face,,
60,Ohimaistephen_asekhame,@OhimaistephenA,2021-05-26T23:15:24.000Z,"Please my fellow Nigerians. I want you all to help me ask the panel that was set up against police brutality. How many years will it take them to review the #endsars protest case on their table?. The last time I heard from them was, they want to do the review of the case but from",,,1,1
61,Nigeria is a Jungle,@DamilojuJLT,2021-05-26T18:53:36.000Z,"The same Lia Mohammed have done worst than then.

Garba Shehu has done worst, this is  one of the ways they steal your money.

Billion dollar property abroad.

#EndSARS 
#RevolutionNow 
#OccupyNigeria",,,5,11
62,Potential Husband,@funny_aquila,2021-05-27T15:03:24.000Z,"Major General Farouk Yahaya ..... I hope you know PMB doesn't go to burials, I say make I remind you ! Congratulations o

#Nigeria #EndSARS #DapoAbiodunMrRoad",🌺,Hibiscus,1,1
63,TRIO News,@Trionews1,2021-05-21T09:13:26.000Z,#ENDSARS: Epic moments!,,,,
64,UsmanJamiuOpeyemi,@usmanjamiuope,2021-05-26T21:36:37.000Z,"FREE ALL #EndSARS PROTESTERS who are still in detention

JOIN THE #june12

NATIONWIDE PROTEST",,,1,
65,Tenzin,@Kingsle49424870,2021-05-27T05:55:15.000Z,"Replying to 
@iamOkon",,,37,3
66,Aku N'Esi Obi Ike ( ͡° ͜ʖ ͡°),@Uzomaka_Kelechi,2021-05-26T08:29:52.000Z,"Tribalism brought us to this level of damage we are facing presently.If we had set aside tribal sentiments and heeded to to warnings of nnamdi kanu from the onset ,we would have nibbed Fulani terrorist in the bud. #EndSARS Niger republic #IPOB Dr chife nnpc #Solana garba shehu",,,10,8
67,Ụwanụrụọchị,@uwanuruochi,2021-05-26T06:45:57.000Z,"Ariri egbuo nụ mụo Chai nkea obu gịnị nụ
The recruited boko haram in Nigeria military only know how to kill innocent people. Now you see Nigeria police & soldiers. It Reminds me of #EndSARS protest. #Terrible",,,8,9
68,𝘾𝙃𝙄𝙀𝙁 𝙅𝙐𝙎𝙏𝙄𝘾𝙀 𝙊𝙁 𝙇𝘼𝙂𝙊𝙎,@_eljustice,2021-05-26T08:08:35.000Z,"The greatest form of unity.
The purest form of fight.
An army of voice.
Our children will refer to this #EndSARS movement as another ""Labour of our Heroes past""",⚖ ⚖,,116,97
69,Kelvin,@event28_planner,2021-05-28T07:30:49.000Z,"Happy Birthday to me 
A prayer for me
#IgboAmaka #spareparts #Proudigbo #AbujaTwitterCommunity #abujatechfriday 
#EndSARS",,,1,
70,Judicial Panel Of Inquiry Oyo State,@OyoSarsPanel,2021-05-26T15:05:32.000Z,"The last petition for today is OYJPPB/038. The petition  is between Mr. Adegbite Nasiru & Nigeria Police, Eleyele Ibadan.
The petitioner was detained and extorted by the police after he had gone to report an issue relating to land dispute
#EndSARS
#OyoStateJudicialPanel
#oysgjpi",,,1,
71,Omo Eko Proper,@MichealVerissi1,2021-05-26T11:09:31.000Z,If I am owing you please pay me o #N200 #iphone #EndSARS,,,3,
72,OurFavOnlineDrummer,@itz_ralphdrums,2021-05-27T14:25:55.000Z,Na who Support #EndSARS we go Support for #UCLFinal on Saturday!!,🥁,Drum,2,
73,Ce◆james™,@Okoyechinedu7,2021-05-23T09:05:15.000Z,"With Tears, I'm Sharing Again...


#BuhariMustGo #EndSARS #EndBadGovernanceinNIGERIA",😢 😢 😢 😢 😢 😢 😢 😢,Crying face Crying face Crying face Crying face Crying face Crying face Crying face Crying face,,2
74,Coconut Head,@Proficience_,2021-05-26T08:49:14.000Z,"This is Emmanuel Larry. He was beaten and publicly tortured with victor udoka by 
@officialGYBkogi
 thugs in a video uploaded by 
@kingsleyfanwo
. No crime or charges against him. Pasting #BuhariMustGo posters is not a crime #Endsars now",,,36,40
75,M. phil.,@meiklwagner,2021-05-23T01:16:08.000Z,"Made For Now - Janet Jackson & Daddy Yankee, 2019, Rhythm Nation Records.
On YouTube: http://youtu.be/seh_fZJqB94
#FridaysForFuture #Berlin #ClimateChange #cinemastrikesback #Influencer #P1 #SenUVKBerlin #BlackLivesMatter #California #BMAS_Bund #ForaFutureDancefloor #EndSARS",👑,Crown,2,8
76,ASACRAYFISH,@Confismile1,2021-05-28T15:19:21.000Z,"Welcome to Nigeria where human lives is worth less than a dollar #BenueUnderAttack 
#EndSARS",,,,
77,NATIONAL BODY,@SLIMZADDYJ,2021-05-27T14:42:52.000Z,"You all should not forget so quickly that Tammy Abraham was with Nigerians during the #EndSARS it's only right we support and cut the Winning Nigeria soap for so he too can win on Saturday..you should people should not be ungrateful to him now 
#UCLFinal",🙄 🙄,Face with rolling eyes Face with rolling eyes,3,4
78,iam_pape,@iam_pape,2021-05-27T14:47:36.000Z,"This #EndSARS I was never in support and I'll never be... when I was  in Lagos, i stayed in GRA, close to SARs office,and usually I go into the barracks to chill and buy things and sometimes I'll over hear conversations from SARS operatives, yes there r bad eggs among them",,,,1
79,Mrs. Doubtfire,@SWATSARSAWAY,2021-05-21T22:01:20.000Z,"Rest in Peace!!!

Which way, Nigeria?

#ChiefofArmyStaff
#IbrahimAttahiru
#EndSARS",,,4,1
80,Metadoka,@Metadoka,2021-05-27T10:58:29.000Z,"Imagine this hero and legend, for just end him life for SARS hand that year, thank God for #EndSARS",,,,
81,Mrs. Doubtfire,@SWATSARSAWAY,2021-05-28T09:43:44.000Z,"#menstruation

Women are special!!!

#EndSARS",,,1,
82,jameskid of IBADAN,@iamjameskid,2021-05-28T14:26:04.000Z,SON OF THE SUN #Suns #cloud #endsars,,,,
83,Ada-Eze,@Real_AdaKing,2021-05-22T09:48:45.000Z,"Proudly Igbotic, No apologies!

In my next life, I will come back as an Igbo lady! No true onyigbo will wish for another race in their next world. We are truly blessed, Hardworking, Confident, gifted, adventurous, intelligent, resilient, beautifully made.

Umu Biafra Kwenu",🙌,Raising hands,1.7K,1.1K
84,Chiemi Daniel PD.h,@DanielMaechi,2021-05-22T11:23:48.000Z,These are definitely not products of the damnable #Zoological Republic. These are the future technological giants. #EndSARS,,,6,4
85,Mawunya,@Mawunya_,2021-05-28T12:53:29.000Z,"This is the grave yard where people killed in Benue,Nigeria by Fulani herdsmen are buried.This is very devastating, even flies won’t be killed this way. International community must intervene ASAP. This is genocide, just retweet #BenueUnderAttack #EndSARS",,,29,32
86,ODIN AIMHIE,@OdinAimhie,2021-05-27T04:46:12.000Z,"The problems of 
@PoliceNG
 are many. It starts with the structure. Since colonial times, Nigeria’s police has been structured more as an occupation force than as a police force, reason policemen are deployed away from their regions of origin... 
@Chxta
 on this.

#774ngr #EndSARS",,,1,2
87,Omoyele Sowore,@YeleSowore,2021-05-26T08:15:35.000Z,We badly need “#Endsars 2” to commence on Saturday June 12 2021! #Buharimustgo #RevolutionNow #FreeKogi2,,,1.7K,837
88,ESOSA,@TheRealEsosa,2021-05-26T09:35:30.000Z,"We don't #EndSARS anymore, the last one appeared too weak. RIP to the lives lost. What we need is revolution, violence and drastic action thats the only language this govt understand.",,,9,4
89,Lakuna,@AgunsFemi,2021-05-27T14:51:51.000Z,Ooya National thugs food for thought don show #useyourbrain #EndSARS,,,,
90,Betty butter,@BettyNneka___,2021-05-26T14:47:25.000Z,"Restricting airflows 
#CBNGovernor 
#iPhone 
#EndSARS
#BigAreola
#N200",❤ 😋 🤧,Face savouring food Sneezing face,15,2
91,Mr Schrodinger |||,@mrflairr,2021-05-27T11:01:43.000Z,It's like this new IG want to be unfortunate. Oga do ur work and leave Sars matter abeg. Sars is dead and gone. #EndSARS,⚡ 🔱,Trident emblem,1,
92,F.Cubana #EndSARS,@OgbanFrancis,2021-05-28T15:00:55.000Z,"Nigeria is a failed state, insecurities everywhere, innocent people are been killed, na normal activities now for this kinda 
@MBuhari
 govt. #EndSARS #EndBadGovernanceinNIGERIA",,,1,1
93,OYENIRAN AYOOLA,@iam_kellyyce,2021-05-26T05:30:19.000Z,"When the Babalawo knows you’ll run mad before you spend one naira out of the blood money.

Naira Manchester United   IPOB  Riyad Mahrez  #Endsars",💎 💎,Gem stone Gem stone,360,78
94,FUNMBI SOKOYA,@DONSOKIZ,2021-05-27T16:04:56.000Z,Na so #EndSARS one reach one year and nothing has been done. The killers may be in a car/bus or walking next to you and you will never know ,😔,Pensive face,,
95,Samnun,@Samnun15,2021-05-21T11:57:34.000Z,"Stay smart with any of this tracksuit

Call/Whatsapp: 07081572412

#David #IsaPantami #IMEI #NigerianIdol #Nigeria #EndSARS  #echoke  #AkwaabaLaycon #BBNaijaAuditions #EFCC #cryptocrash #abidemirufai #Reno #FridayMotivation 

Like, Patronize and help retweet",,,3,2
96,Bazedon,@officialbazedon,2021-05-27T21:29:50.000Z,"#EndSARS protests were sponsored against the North, says Senator Abdullahi Adamu",,,,1
97,Adeoye Temitayo,@AdeoyeTemitayo9,2021-05-28T12:23:16.000Z,"Is this Buhari?
please rt
#EndSARS",,,,1
98,akingbadejohn,@akingbadejohn1,2021-05-27T19:25:14.000Z,"Hypocrite 
@mbuhari
. He shot and killed protesters 
@Lekki
 on 20/10/20. But, open door to these Nigerians 2 show he loves them. Lie! You remain a killer. All those who have hand in d killings will not die well, their children too. Amen!

#EndSARS",,,1,1
99,Mrs. Doubtfire,@SWATSARSAWAY,2021-05-28T08:30:13.000Z,"If communities now enlists private citizens to come to their rescue, to protect them from terrorists, then suffice it to say, THERE WAS 'once' A COUNTRY ...

#EndSARS #TableShaker",,,1,
100,Moments With Ngodoo -YT,@being_Ngodoo,2021-05-28T00:34:02.000Z,"WHY POLITICIANS SEE NIGERIAN CITIZENS AS THUGS 

So Senator Oluremi Tinubu has been the centre of controversy for calling a woman a thug! 
This took my mind back to #EndSARS period where credible youths demanding good governance were tagged thugs /1",,,1,2
101,The EasternBull,@MarziBravesoul,2021-05-28T15:01:16.000Z,"But really, isn't now the next best time to go on another #endsars protest? What are these guys taking us for? We protested and this is their response to the protest? Are we a joke to them?? #EnoughIsEnough abeg.

#NigeriaBleeds",,,1,1
102,isazdeeptv,@isazdeeptv1,2021-05-26T05:57:47.000Z,Who is with me #EndSARS #EndASUPStrike #EndASUPStrike #AmazingVoicesAfrica #MoneyHeist5 #Nigeria #cryptocurrencies,👎 👎,Thumbs down Thumbs down,4,2
103,Mrs. Doubtfire,@SWATSARSAWAY,2021-05-28T08:11:02.000Z,"Unfortunately, we're way past ""outrage."" It has become the order of the day.

One too many!!! 
@NigeriaGov
 is on cruise control ...You just have to protect yourself and your loved ones. 

Shame!!!

#EndSARS",,,1,
104,Nigeria First lady,@iamdannex,2021-05-27T18:09:51.000Z,"Human right na our property so therefore animals can't dash us our property... retweet for the real legend 

| rccg Seun Kuti Remi Tinubu
#Felabration #AbujaProtests #EndSWAT #EndSARS #EndPoliceBrutalityinNigeria #Felabration #fela",,,5,5
105,WONDERMAN,@acecodedajaguar,2021-05-24T00:20:39.000Z,"I will like to graduate with a first class and start making millions before 22years

Buhari

#ronaldo #Nigeria #EndSARS",🦄 🦄 🦄 👇 👇 👇,Unicorn face Unicorn face Unicorn face Down pointing backhand index Down pointing backhand index Down pointing backhand index,2,2
106,Idowu Daramola,@idowudaramola,2021-05-28T09:15:01.000Z,"Good morning 
@DesmondElliot_
 we your children are greeting you from Surulere. We will never forget 20.10.20. #endsars",,,,
107,El Mago - Tamz,@OpuyalayeTamuno,2021-05-22T05:45:53.000Z,"This motherfuckers want me to type RIP for evil people, hypocrites 

#EndSARS #echoke",✂ 🤣,Scissors Rolling on the floor laughing,1,1
108,Comr Nnamdi,@nnamdiginika30,2021-05-27T14:50:41.000Z,"Actually 
@MBuhari
 really kept his promises to Nigerians. #EndSARS #EndNigeriaNowToSaveLives",,,,
109,Emmanuel Atser,@emmanuel_atser,2021-05-28T14:14:42.000Z,"We are dying everyday in Benue.
Fulani herdsmen are killing us under President 
@MBuhari
's watch.
@GovSamuelOrtom
 @TerAkase
 @GovWike
@AishaYesufu
@OfficialPDPNig
@officialKolaO
@renoomokri
#BenueUnderAttack 
#BenueGenocide 
#EndSARS",💙 💸 💸 🚀,Blue heart Money with wings Money with wings Rocket,,2
110,Authority Stealing,@afroromantics,2021-05-28T13:38:44.000Z,"#EndSARS 
Why does ESN look professionally photoshopped but rag tag in real life?",,,,
111,Sir Charles 001,@SirCharles0001,2021-05-28T15:02:30.000Z,"We can continue to play lip service to our security. Our people are dying and we feel it's not yet time. 

Where is the spirit of #EndSARS it's better we end Bad Government now. 
#BenueUnderAttack 
#southernkaduna",,,,1
112,"Izon-Owei,",@godimangellyn,2021-05-28T15:09:01.000Z,"Enough is Enough
Lucifer
Southern Kaduna
#NigeriaBleeds 
@PoliceNG
 calling for another round of #EndSARS",,,,
113,Wecommentnaija,@wecommentnaija,2021-05-27T01:15:38.000Z,"Booking is free

Book for your dispatch rider on
#easelife @ http://easelife.com.ng 
#lagos #EndSARS #2021",💓 💓 💓,Beating heart Beating heart Beating heart,,1
114,JuwonSanyaolu,@AyowoleSanyaolu,2021-05-26T08:22:33.000Z,"#EndSARS is a call to end police brutality and culture of impunity. 8 months after, scores of protesters still languish in prison, no justice for the victims of #LekkiMassacre and police brutality has continued unabated. #June12Protest #DemocracyDay #FreeKogi2",,,25,23
115,STOP THE BRUTALITY #ENDSARS,@kidacuz,2021-05-21T19:17:30.000Z,"Shey Una no wan fix Una system ba
E go hunt Una till all of Una go walka because of Una corruption..

#EndSARS
#EndBadGovernanceinNIGERIA
What is dead may never die

RIP Chief of Army staff",,,2,
116,BubeBelle,@Belle_Crystals,2021-05-26T10:37:50.000Z,"It's Been Fun May 

#iPhone #EndSARS  CBN Governor",✨ 🖤,Sparkles Black heart,2,1
